,year,country,performer,song,place_f,points_f,place_sf1,points_sf1,place_sf2,points_sf2,broadcaster,composer,writer
 netherlands_1960,1960, Netherlands, Rudi Carrell, Wat Een Geluk, 12, 2,,,,, NTS, Dick Schallies, Willy van Hemert
 norway_1960,1960, Norway, Nora Brockstedt, Voi-voi, 4, 11,,,,, NRK, Georg Elgaaen, Georg Elgaaen
 sweden_1960,1960, Sweden, Siw Malmkvist, Alla Andra Får Varann, 10, 4,,,,, SR, Siw Malmkvist, Åke Gerhard
 switzerland_1960,1960, Switzerland, Anita Traversi, Cielo E Terra, 8, 5,,,,, SSR SRG, Mario Robbiani, Mario Robbiani
 united kingdom_1960,1960, United Kingdom, Bryan Johnson," Looking High, High, High", 2, 25,,,,, BBC, John Watson, John Watson
 austria_1961,1961, Austria, Jimmy Makulis, Sehnsucht, 15, 1,,,,, ORF, Leopold Andrejewitsch, Leopold Andrejewitsch
 belgium_1961,1961, Belgium, Bob Benny," September, Gouden Roos", 15, 1,,,,, BRT, Hans Flower, Wim Brabants
 denmark_1961,1961, Denmark, Dario Campeotto, Angelique, 5, 12,,,,, DR, Aksel V. Rasmussen, Aksel V. Rasmussen
 finland_1961,1961, Finland, Laila Kinnunen, Valoa Ikkunassa, 10, 6,,,,, YLE, Eino Hurme, Sauvo Puhtila
 france_1961,1961, France, Jean-Paul Mauric, Printemps (avril Carillonne), 4, 13,,,,, RTF, Francis Baxter, Guy Favereau
 germany_1961,1961, Germany, Lale Andersen, Einmal Sehen Wir Uns Wieder, 13, 3,,,,, ARD, Rudolf Maluck, Ernst Bader
 italy_1961,1961, Italy, Betty Curtis, Al Di Là, 5, 12,,,,, RAI, Carlo Donida, Mogol
 luxembourg_1961,1961, Luxembourg, Jean-Claude Pascal, Nous Les Amoureux, 1, 31,,,,, CLT, Jacques Datin, Maurice Vidalin
 monaco_1961,1961, Monaco, Colette Deréal," Allons, Allons Les Enfants", 10, 6,,,,, TMC, Hubert Giraud, Pierre Delanoë
 netherlands_1961,1961, Netherlands, Greetje Kauffeld, Wat Een Dag, 10, 6,,,,, NTS, Dick Schallies, Pieter Goemans
 norway_1961,1961, Norway, Nora Brockstedt, Sommer I Palma, 7, 10,,,,, NRK, Jan Wølner, Egil Hagen
 spain_1961,1961, Spain, Conchita Bautista, Estando Contigo, 9, 8,,,,, TVE, Augusto Algueró, Antonio Guijarro
 sweden_1961,1961, Sweden, Lill-Babs," April, April", 14, 2,,,,, SR, Bobbie Ericsson, Bo Eneby
 switzerland_1961,1961, Switzerland, Franca di Rienzo, Nous Aurons Demain, 3, 16,,,,, SSR SRG, Géo Voumard, Émile Gardaz
 united kingdom_1961,1961, United Kingdom, The Allisons, Are You Sure?, 2, 24,,,,, BBC," John Allison, Bob Allison"," John Allison, Bob Allison"
 yugoslavia_1961,1961, Yugoslavia, Ljiljana Petrovic, Neke Davne Zvezde, 8, 9,,,,, JRT, Jože Privšek, Miroslav Antić
 austria_1962,1962, Austria, Eleonore Schwarz, Nur In Der Wiener Luft, 13, 0,,,,, ORF, Bruno Uher, Bruno Uher
 belgium_1962,1962, Belgium, Fud Leclerc, Ton Nom, 13, 0,,,,, RTB, Eric Channe, Tony Golan
 denmark_1962,1962, Denmark, Ellen Winther, Vuggevise, 10, 2,,,,, DR, Kjeld Bonfils, Sejr Volmer-Sørensen
 finland_1962,1962, Finland, Marion Rung, Tipi-tii, 7, 4,,,,, YLE, Kari Tuomisaari, Kari Tuomisaari
 france_1962,1962, France, Isabelle Aubret, Un Premier Amour, 1, 26,,,,, RTF, Claude-Henri Vic, Roland Stephane Valade
 germany_1962,1962, Germany, Conny Froboess, Zwei Kleine Italiener, 6, 9,,,,, ARD, Christian Bruhn, Georg Buschor
 italy_1962,1962, Italy, Claudio Villa," Addio, Addio", 9, 3,,,,, RAI, Domenico Modugno, Franco Migliacci
 luxembourg_1962,1962, Luxembourg, Camillo Felgen, Petit Bonhomme, 3, 11,,,,, CLT, Jacques Datin, Maurice Vidalin
 monaco_1962,1962, Monaco, François Deguelt, Dis Rien, 2, 13,,,,, TMC, Henri Salvador, René Rouzaud
 netherlands_1962,1962, Netherlands, De Spelbrekers, Katinka, 13, 0,,,,, NTS, Joop Stokkermans," Henny Hamhuis, Lodewijk Post"
 norway_1962,1962, Norway, Inger Jacobsen," Kom Sol, Kom Regn", 10, 2,,,,, NRK, Kjell Karlsen, Ivar Andersen
 spain_1962,1962, Spain, Victor Balaguer, Llámame, 13, 0,,,,, TVE, Mario Selles, Miguel Portoles
 sweden_1962,1962, Sweden, Inger Berggren, Sol Och Vår, 7, 4,,,,, SR," Åke Gerhard, Ulf Kjellqvist"," Åke Gerhard, Ulf Kjellqvist"
 switzerland_1962,1962, Switzerland, Jean Philippe, Le Retour, 10, 2,,,,, SSR SRG, Géo Voumard, Émile Gardaz
 united kingdom_1962,1962, United Kingdom, Ronnie Carroll, Ring-a-ding Girl, 4, 10,,,,, BBC, Syd Cordell, Stan Butcher
 yugoslavia_1962,1962, Yugoslavia, Lola Novakovic, Ne Pali Svetlo U Sumrak, 4, 10,,,,, JRT, Jože Privšek, Dragutin Britvić
 austria_1963,1963, Austria, Carmela Corren, Vielleicht Geschieht Ein Wunder, 7, 16,,,,, ORF, Erwin Halletz, Peter Wehle
 belgium_1963,1963, Belgium, Jacques Raymond, Waarom, 10, 4,,,,, BRT, Hans Flower, Wim Brabants
 denmark_1963,1963, Denmark, Grethe and Jørgen Ingmann, Dansevise, 1, 42,,,,, DR, Otto Francker, Sejr Volmer-Sørensen
 finland_1963,1963, Finland, Laila Halme, Muistojeni Laulu, 13, 0,,,,, YLE, Börje Sundgren, Muistojeni Laulu
 france_1963,1963, France, Alain Barrière, Elle était Si Jolie, 5, 25,,,,, RTF," Alain Barrière, A. Migiani"," Alain Barrière, A. Migiani"
 germany_1963,1963, Germany, Heidi Brühl, Marcel, 9, 5,,,,, ARD, Charly Niessen, Charly Niessen
 italy_1963,1963, Italy, Emilio Pericoli, Uno Per Tutte, 3, 37,,,,, RAI, Tony Renis," Mogol, Alberto Testa"
 luxembourg_1963,1963, Luxembourg, Nana Mouskouri, A Force De Prier, 8, 13,,,,, CLT, Raymond Bernard, Pierre Delanoë
 monaco_1963,1963, Monaco, Françoise Hardy, L'amour S'en Va, 5, 25,,,,, TMC, Françoise Hardy, Françoise Hardy
 netherlands_1963,1963, Netherlands, Annie Palmen, Een Speeldoos, 13, 0,,,,, NTS, Pieter Goemans, Pieter Goemans
 norway_1963,1963, Norway, Anita Thallaug, Solhverv, 13, 0,,,,, NRK, Dag Kristoffersen, Dag Kristoffersen
 spain_1963,1963, Spain, José Guardiola, Algo Prodigioso, 12, 2,,,,, TVE, Fernando García Morcillo, Camillo Murillo Janero
 sweden_1963,1963, Sweden, Monica Zetterlund, En Gång I Stockholm, 13, 0,,,,, SR, Bobbie Ericsson, Beppe Wolgers
 switzerland_1963,1963, Switzerland, Esther Ofarim, T'en Va Pas, 2, 40,,,,, SSR SRG, Géo Voumard, Émile Gardaz
 united kingdom_1963,1963, United Kingdom, Ronnie Carroll, Say Wonderful Things, 4, 28,,,,, BBC, Philip Green, Norman Newell
 yugoslavia_1963,1963, Yugoslavia, Vice Vukov, Brodovi, 11, 3,,,,, JRT, Mario Nardelli, Mario Nardelli
 austria_1964,1964, Austria, Udo Jürgens," Warum Nur, Warum?", 6, 11,,,,, ORF, Udo Jürgens, Udo Jürgens
 belgium_1964,1964, Belgium, Robert Cogoi, Près De Ma Rivière, 10, 2,,,,, RTB, Robert Cogoi, Robert Cogoi
 denmark_1964,1964, Denmark, Bjørn Tidmand, Sangen Om Dig, 9, 4,,,,, DR, Aksel V. Rasmussen, Mogens Dam
 finland_1964,1964, Finland, Lasse Mårtenson, Laiskotellen, 7, 9,,,,, YLE, Lasse Mårtenson, Sauvo Puhtila
 france_1964,1964, France, Rachel, Le Chant De Mallory, 4, 14,,,,, RTF, André Popp, Pierre Cour
 germany_1964,1964, Germany, Nora Nova, Man Gewöhnt Sich So Schnell An Das Schöne, 13, 0,,,,, ARD, Rudi von der Dovenmühle, Niels Nobach
 italy_1964,1964, Italy, Gigliola Cinquetti, Non Ho L'étà, 1, 49,,,,, RAI, Nicola Salerno, Mario Panzeri
 luxembourg_1964,1964, Luxembourg, Hugues Aufray, Dès Que Le Printemps Revient, 4, 14,,,,, CLT, Hugues Aufray, Jacques Plante
 monaco_1964,1964, Monaco, Romuald, Où Sont-elles Passées?, 3, 15,,,,, TMC, Francis Lai, Pierre Barouh
 netherlands_1964,1964, Netherlands, Anneke Grönloh, Jij Bent Mijn Leven, 10, 2,,,,, NTS, Ted Powder, René de Vos
 norway_1964,1964, Norway, Arne Bendiksen, Spiral, 8, 6,,,,, NRK, Sigurd Jansen, Egil Hagen
 portugal_1964,1964, Portugal, António Calvário, Oração, 13, 0,,,,, RTP, João Nobre," Francisco Nicholson, Rogério Braçinha"
 spain_1964,1964, Spain," Tim, Nelly and Tony", Caracola, 12, 1,,,,, TVE, Fina de Calderón, Fina de Calderón
 switzerland_1964,1964, Switzerland, Anita Traversi, I Miei Pensieri, 13, 0,,,,, SSR SRG, Giovanni Pelli, Sanzio Chiesa
 united kingdom_1964,1964, United Kingdom, Matt Monro, I Love The Little Things, 2, 17,,,,, BBC, Tony Hatch, Tony Hatch
 yugoslavia_1964,1964, Yugoslavia, Sabahudin Kurt, Zivot Je Sklopio Krug, 13, 0,,,,, JRT, Srcan Matijević, Stevan Raicković
 austria_1965,1965, Austria, Udo Jürgens," Sag Ihr, Ich Lass' Sie Grüßen", 4, 16,,,,, ORF, Udo Jürgens, Frank Bohlen
 belgium_1965,1965, Belgium, Lize Marke, Als Het Weer Lente Is, 15, 0,,,,, BRT, Jef van den Berg, Jaak Dreesen
 denmark_1965,1965, Denmark, Birgit Brüel, For Din Skyld, 7, 10,,,,, DR, Jørgen Jersild, Poul Henningsen
 finland_1965,1965, Finland, Viktor Klimenko, Aurinko Laskee Länteen, 15, 0,,,,, YLE, Toivo Kärki, Reino Helismaa
 france_1965,1965, France, Guy Mardel, N'avoue Jamais, 3, 22,,,,, ORTF, Guy Mardel, Françoise Dorin
 germany_1965,1965, Germany, Ulla Wiesner," Paradies, Wo Bist Du?", 15, 0,,,,, ARD," Barbara Kist, Hans Blum"," Barbara Kist, Hans Blum"
 ireland_1965,1965, Ireland, Butch Moore, I'm Walking The Streets In The Rain, 6, 11,,,,, RÉ," Teresa Conlon, George Prendergast, Joe Harrigan"," Teresa Conlon, George Prendergast, Joe Harrigan"
 italy_1965,1965, Italy, Bobby Solo," Se Piangi, Se Ridi", 5, 15,,,,, RAI," Gianni Marchetti, Roberto Satti"," Mogol, Roberto Satti"
 luxembourg_1965,1965, Luxembourg, France Gall," Poupée De Cire, Poupée De Son", 1, 32,,,,, CLT, Serge Gainsbourg, Serge Gainsbourg
 monaco_1965,1965, Monaco, Marjorie Noël, Va Dire à L'amour, 9, 7,,,,, TMC, Raymond Bernard, Jacques Mareuil
 netherlands_1965,1965, Netherlands, Conny Van den bos, Het Is Genoeg, 11, 5,,,,, NTS, Johnny Holshuyzen, Joke van Soest
 norway_1965,1965, Norway, Kirsti Sparboe, Karusell, 13, 1,,,,, NRK, Jolly Kramer-Johansen, Jolly Kramer-Johansen
 portugal_1965,1965, Portugal, Simone de Oliviera, Sol De Inverno, 13, 1,,,,, RTP, Carlos Nobrega e Sousa, Jeronimo Bragança
 spain_1965,1965, Spain, Conchita Bautista," Qué Bueno, Qué Bueno", 15, 0,,,,, TVE, Antonio Figueroa Egea, Antonio Figueroa Egea
 sweden_1965,1965, Sweden, Ingvar Wixell, Absent Friend, 10, 6,,,,, SR, Dag Wirén, Alf Henriksson
 switzerland_1965,1965, Switzerland, Yovanna, Non à Jamais Sans Toi, 8, 8,,,,, SSR SRG, Bob Calfati, Jean Charles
 united kingdom_1965,1965, United Kingdom, Kathy Kirby, I Belong, 2, 26,,,,, BBC, Peter Lee Sterling, Phil Peters
 yugoslavia_1965,1965, Yugoslavia, Vice Vukov, Ceznja, 12, 2,,,,, JRT, Julijo Marić, Zarko Roje
 austria_1966,1966, Austria, Udo Jürgens, Merci Chérie, 1, 31,,,,, ORF, Udo Jürgens," Udo Jürgens, Thomas Hörbiger"
 belgium_1966,1966, Belgium, Tonia," Un Peu De Poivre, Un Peu De Sel", 4, 14,,,,, RTB, Paul Quintens, Phil van Cauwenbergh
 denmark_1966,1966, Denmark, Ulla Pia," Stop, Ja Stop - Ja Stop, Mens Legen Er Go", 14, 4,,,,, DR, Erik Kåre, Erik Kåre
 finland_1966,1966, Finland, Ann-Christine Nyström, Play-boy, 10, 7,,,,, YLE, Ossi Runne, Ossi Runne
 france_1966,1966, France, Dominique Walter, Chez Nous, 16, 1,,,,, ORTF, Claude Carrère, Jacques Plante
 germany_1966,1966, Germany, Margot Eskens, Die Zeiger Der Uhr, 10, 7,,,,, ARD, Walter Dobschinski, Hans Bradtke
 ireland_1966,1966, Ireland, Dickie Rock, Come Back To Stay, 4, 14,,,,, RÉ, Rowland Soper, Rowland Soper
 italy_1966,1966, Italy, Domenico Modugno, Dio Come Ti Amo, 17, 0,,,,, RAI, Domenico Modugno, Domenico Modugno
 luxembourg_1966,1966, Luxembourg, Michèle Torr, Ce Soir Je T'attendais, 10, 7,,,,, CLT, Bernard Kesslair, Jacques Chaumelle
 monaco_1966,1966, Monaco, Tereza, Bien Plus Fort, 17, 0,,,,, TMC, Gérard Bourgeois, Jean-Max Rivière
 netherlands_1966,1966, Netherlands, Milly Scott, Fernando En Philippo, 15, 2,,,,, NOS, Kees de Bruyn, Gerrit den Braber
 norway_1966,1966, Norway, Åse Kleveland, Intet Er Nytt Under Solen, 3, 15,,,,, NRK, Arne Bendiksen, Arne Bendiksen
 portugal_1966,1966, Portugal, Madalena Iglesias, Ele E Ela, 13, 6,,,,, RTP, Carlos Canelhas, Carlos Canelhas
 spain_1966,1966, Spain, Raphael, Yo Soy Aquél, 7, 9,,,,, TVE, Manuel Alejandro, Manuel Alejandro
 sweden_1966,1966, Sweden, Lill Lindfors and Svante Thuresson, Nygammal Vals Eller Hip Man Svinaherde, 2, 16,,,,, SR, Bengt Arne Wallin, Björn Lindroth
 switzerland_1966,1966, Switzerland, Madeleine Pascal, Ne Vois-tu Pas?, 6, 12,,,,, SSR SRG, Pierre Brenner, Roland Schweizer
 united kingdom_1966,1966, United Kingdom, Kenneth McKellar, A Man Without Love, 9, 8,,,,, BBC, Cyril Ornadel, Peter Callander
 yugoslavia_1966,1966, Yugoslavia, Berta Ambroz, Brez Besed, 7, 9,,,,, JRT, Mojmir Sepe, Elza Budav
 austria_1967,1967, Austria, Peter Horten, Warum Es Hunderttausend Sterne Gibt, 14, 2,,,,, ORF, Kurt Peche, Karin Bognar
 belgium_1967,1967, Belgium, Louis Neefs, Ik Heb Zorgen, 7, 8,,,,, BRT, Paul Quintens, Phil van Cauwenbergh
 finland_1967,1967, Finland, Fredi, Varjoon-suojaan, 12, 3,,,,, YLE, Lasse Mårtenson, Alvi Vuorinen
 france_1967,1967, France, Noëlle Cordier, Il Doit Faire Beau Là-bas, 3, 20,,,,, ORTF, Hubert Giraud, Pierre Delanoë
 germany_1967,1967, Germany, Inge Brück, Anouschka, 8, 7,,,,, ARD, Hans Blum, Hans Blum
 ireland_1967,1967, Ireland, Sean Dunphy, If I Could Choose, 2, 22,,,,, RTÉ, Michael Coffey, Wesley Burrowes
 italy_1967,1967, Italy, Claudio Villa, Non Andare Più Lontano, 11, 4,,,,, RAI, Gino Mescoli, Vito Pallavicini
 luxembourg_1967,1967, Luxembourg, Vicky, L'amour Est Bleu, 4, 17,,,,, CLT, André Popp, Pierre Cour
 monaco_1967,1967, Monaco, Minouche Barelli, Boum-badaboum, 5, 10,,,,, TMC, Serge Gainsbourg, Serge Gainsbourg
 netherlands_1967,1967, Netherlands, Thérèse Steinmetz, Ring-dinge, 14, 2,,,,, NTS, Johnny Holshuysen, Gerrit den Braber
 norway_1967,1967, Norway, Kirsti Sparboe, Dukkemann, 14, 2,,,,, NRK, Tor Hultin, Ola B. Johannessen
 portugal_1967,1967, Portugal, Eduardo Nascimento, O Vento Mudou, 12, 3,,,,, RTP, Nuño Nazareth Fernandes, João Magalhães Pereira
 spain_1967,1967, Spain, Raphael, Hablemos Del Amor, 6, 9,,,,, TVE, Manuel Alejandro, Manuel Alejandro
 sweden_1967,1967, Sweden, Östen Warnebring, Som En Dröm, 8, 7,,,,, SR," Curt Petterson, Marcus Österdahl", Patrice Hellberg
 switzerland_1967,1967, Switzerland, Géraldine, Quel Coeur Vas-tu Briser?, 17, 0,,,,, SSR SRG, Daniel Faure, Gérard Gray
 united kingdom_1967,1967, United Kingdom, Sandie Shaw, Puppet On A String, 1, 47,,,,, BBC," Bill Martin, Phil Coulter"," Bill Martin, Phil Coulter"
 yugoslavia_1967,1967, Yugoslavia, Lado Leskovar, Vse Roze Sveta, 8, 7,,,,, JRT, Urban Koder, Milan Lindić
 austria_1968,1968, Austria, Karel Gott, Tausend Fenster, 13, 2,,,,, ORF, Udo Jürgens, Walter Brandin
 belgium_1968,1968, Belgium, Claude Lombard, Quand Tu Reviendras, 7, 8,,,,, RTB, Jo van Wetter, Roland Dero
 finland_1968,1968, Finland, Kristina Hautala, Kun Kello Käy, 16, 1,,,,, YLE, Esko Linnavalli, Juha Vainio
 france_1968,1968, France, Isabelle Aubret, La Source, 3, 20,,,,, ORTF, Daniel Faure," Henri Dijan, Guy Bonnet"
 germany_1968,1968, Germany, Wencke Myhre, Ein Hoch Der Liebe, 6, 11,,,,, ARD, Horst Jankowski, Carl J. Schäuble
 ireland_1968,1968, Ireland, Pat McGeegan, Chance Of A Lifetime, 4, 18,,,,, RTÉ, John Kennedy, John Kennedy
 italy_1968,1968, Italy, Sergio Endrigo, Marianne, 10, 7,,,,, RAI, Sergio Endrigo, Sergio Endrigo
 luxembourg_1968,1968, Luxembourg, Chris Baldo and Sophie Garel, Nous Vivrons D'amour, 11, 5,,,,, CLT, Carlos Leresche, Jacques Demarny
 monaco_1968,1968, Monaco, Line and Willy, A Chacun Sa Chanson, 7, 8,,,,, TMC, Jean-Claude Oliver, Rolande Valade
 netherlands_1968,1968, Netherlands, Ronnie Tober, Morgen, 16, 1,,,,, NTS, Johnny Holshuyzen, Gerrit den Braber
 norway_1968,1968, Norway, Odd Børre, Stress, 13, 2,,,,, NRK, Tor Hultin, Ola B. Johannessen
 portugal_1968,1968, Portugal, Carlos Mendes, Verão, 11, 5,,,,, RTP, Pedro Osório, José Alberto Diogo
 spain_1968,1968, Spain, Massiel," La, La, La...", 1, 29,,,,, TVE," Manuel de la Calva, Ramón Arcusa"," Manuel de la Calva, Ramón Arcusa"
 sweden_1968,1968, Sweden, Claes-Göran Hederström," Det Börjar Verka Kärlek, Banne Mej", 5, 15,,,,, SR, Peter Himmelstrand, Peter Himmelstrand
 switzerland_1968,1968, Switzerland, Gianni Mascolo, Guardando Il Sole, 13, 2,,,,, SSR SRG, Aldo D'Addario, Sanzio Chiesa
 united kingdom_1968,1968, United Kingdom, Cliff Richard, Congratulations, 2, 28,,,,, BBC," Bill Martin, Phil Coulter"," Bill Martin, Phil Coulter"
 yugoslavia_1968,1968, Yugoslavia, Luci Kapurso and Hamo Hajdarhodzic, Jedan Dan, 7, 8,,,,, JRT," Djelo Jusić, Stipica Kalogjera", Stijepo Strazicic
 belgium_1969,1969, Belgium, Louis Neefs, Jennifer Jennings, 7, 10,,,,, BRT, Paul Quintens, Phil van Cauwenbergh
 finland_1969,1969, Finland, Jarkko and Laura, Kuin Silloin Ennen, 12, 6,,,,, YLE, Toivo Kärki, Juha Vainio
 france_1969,1969, France, Frida Boccara," Un Jour, Un Enfant", 1, 18,,,,, ORTF, Emile Stern, Eddy Marnay
 germany_1969,1969, Germany, Siw Malmkvist, Primaballerina, 9, 8,,,,, ARD, Hans Blum, Hans Blum
 ireland_1969,1969, Ireland, Muriel Day and the Lindsays, The Wages Of Love, 7, 10,,,,, RTÉ, Michael Reade, Michael Reade
 italy_1969,1969, Italy, Iva Zanicchi, Due Grosse Lacrime Bianche, 13, 5,,,,, RAI, Piero Soffici, Carlo Daiano
 luxembourg_1969,1969, Luxembourg, Romuald, Cathérine, 11, 7,,,,, CLT," Paul Mauriat, André Borgioli", André di Fusco
 monaco_1969,1969, Monaco, Jean-Jacques," Maman, Maman", 6, 11,,,,, TMC, Jo Perrier, Jo Perrier
 netherlands_1969,1969, Netherlands, Lenny Kuhr, De Troubadour, 1, 18,,,,, NTS, David Hartsema, Lenny Kuhr
 norway_1969,1969, Norway, Kirsti Sparboe," Oj, Oj, Oj, Så Glad, Jeg Skal Bli", 16, 1,,,,, NRK, Arne Bendiksen, Arne Bendiksen
 portugal_1969,1969, Portugal, Simone de Oliveira, Desfolhada Portuguesa, 15, 4,,,,, RTP, Nuño Nazareth Fernandes, José Carlos Ary dos Santos
 spain_1969,1969, Spain, Salomé, Vivo Cantando, 1, 18,,,,, TVE, Maria José de Cerato, Aniano Alcalde
 sweden_1969,1969, Sweden, Tommy Körberg," Judy, Min Vän", 9, 8,,,,, SR, Roger Wallis, Britt Lindeborg
 switzerland_1969,1969, Switzerland, Paola del Medico," Bonjour, Bonjour", 5, 13,,,,, SSR SRG, Henry Mayer, Jack Stark
